"activity_level","activity_year","activity_month","geo_lvl","geo_val","prim_lvl","activity_count"
"Monthly activity","2021","5","Cancer Alliance","East Of England South","Total",11109
"Monthly activity","2021","5","Cancer Alliance","Greater Manchester","Total",12304
"Monthly activity","2021","5","Cancer Alliance","Humber Coast And Vale","Total",5492
"Monthly activity","2021","5","Cancer Alliance","Kent And Medway","Total",6745
"Monthly activity","2021","5","Cancer Alliance","Lancashire And South Cumbria","Total",6104
"Monthly activity","2021","5","Cancer Alliance","North Central London","Total",7981
"Monthly activity","2021","5","Cancer Alliance","North East London","Total",5882
"Monthly activity","2021","5","Cancer Alliance","Northern ","Total",12132
"Monthly activity","2021","5","Cancer Alliance","Peninsula","Total",7663
"Monthly activity","2021","5","Cancer Alliance","RM Partners West London","Total",12212
"Monthly activity","2021","5","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",11999
"Monthly activity","2021","5","Cancer Alliance","South East London","Total",7998
"Monthly activity","2021","5","Cancer Alliance","South Yorkshire And Bassetlaw","Total",7607
"Monthly activity","2021","5","Cancer Alliance","Surrey And Sussex","Total",11617
"Monthly activity","2021","5","Cancer Alliance","Thames Valley","Total",7588
"Monthly activity","2021","5","Cancer Alliance","Wessex","Total",9457
"Monthly activity","2021","5","Cancer Alliance","West Midlands","Total",20289
"Monthly activity","2021","5","Cancer Alliance","West Yorkshire and Harrogate","Total",9656
"Monthly activity","2021","6","Cancer Alliance","Cheshire And Merseyside","Total",11611
"Monthly activity","2021","6","Cancer Alliance","East Midlands","Total",19278
"Monthly activity","2021","6","Cancer Alliance","East Of England North","Total",14745
"Monthly activity","2021","6","Cancer Alliance","East Of England South","Total",12361
"Monthly activity","2021","6","Cancer Alliance","Greater Manchester","Total",13346
"Monthly activity","2021","6","Cancer Alliance","Humber Coast And Vale","Total",6626
"Monthly activity","2021","6","Cancer Alliance","Kent And Medway","Total",7130
"Monthly activity","2021","6","Cancer Alliance","Lancashire And South Cumbria","Total",6856
"Monthly activity","2021","6","Cancer Alliance","North Central London","Total",8717
"Monthly activity","2021","6","Cancer Alliance","North East London","Total",6293
"Monthly activity","2021","6","Cancer Alliance","Northern ","Total",13405
"Monthly activity","2021","6","Cancer Alliance","Peninsula","Total",8455
"Monthly activity","2021","6","Cancer Alliance","RM Partners West London","Total",13896
"Monthly activity","2021","6","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",13116
"Monthly activity","2021","6","Cancer Alliance","South East London","Total",8643
"Monthly activity","2021","6","Cancer Alliance","South Yorkshire And Bassetlaw","Total",8469
"Monthly activity","2021","6","Cancer Alliance","Surrey And Sussex","Total",12737
"Monthly activity","2021","6","Cancer Alliance","Thames Valley","Total",8661
"Monthly activity","2021","6","Cancer Alliance","Wessex","Total",10413
"Monthly activity","2021","6","Cancer Alliance","West Midlands","Total",22195
"Monthly activity","2021","6","Cancer Alliance","West Yorkshire and Harrogate","Total",10456
"Monthly activity","2021","7","Cancer Alliance","Cheshire And Merseyside","Total",11685
"Monthly activity","2021","7","Cancer Alliance","East Midlands","Total",19147
"Monthly activity","2021","7","Cancer Alliance","East Of England North","Total",13784
"Monthly activity","2021","7","Cancer Alliance","East Of England South","Total",11900
"Monthly activity","2021","7","Cancer Alliance","Greater Manchester","Total",13389
"Monthly activity","2021","7","Cancer Alliance","Humber Coast And Vale","Total",6451
"Monthly activity","2021","7","Cancer Alliance","Kent And Medway","Total",6201
"Monthly activity","2021","7","Cancer Alliance","Lancashire And South Cumbria","Total",6753
"Monthly activity","2021","7","Cancer Alliance","North Central London","Total",8079
"Monthly activity","2021","7","Cancer Alliance","North East London","Total",6566
"Monthly activity","2021","7","Cancer Alliance","Northern ","Total",13098
"Monthly activity","2021","7","Cancer Alliance","Peninsula","Total",8760
"Monthly activity","2021","7","Cancer Alliance","RM Partners West London","Total",13049
"Monthly activity","2021","7","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",13225
"Monthly activity","2021","7","Cancer Alliance","South East London","Total",9437
"Monthly activity","2021","7","Cancer Alliance","South Yorkshire And Bassetlaw","Total",8535
"Monthly activity","2021","7","Cancer Alliance","Surrey And Sussex","Total",11675
"Monthly activity","2021","7","Cancer Alliance","Thames Valley","Total",8193
"Monthly activity","2021","7","Cancer Alliance","Wessex","Total",8112
"Monthly activity","2021","7","Cancer Alliance","West Midlands","Total",22025
"Monthly activity","2021","7","Cancer Alliance","West Yorkshire and Harrogate","Total",10910
"Monthly activity","2021","8","Cancer Alliance","Cheshire And Merseyside","Total",11546
"Monthly activity","2021","8","Cancer Alliance","East Midlands","Total",18392
"Monthly activity","2021","8","Cancer Alliance","East Of England North","Total",13954
"Monthly activity","2021","8","Cancer Alliance","East Of England South","Total",11836
"Monthly activity","2021","8","Cancer Alliance","Greater Manchester","Total",12746
"Monthly activity","2021","8","Cancer Alliance","Humber Coast And Vale","Total",6084
"Monthly activity","2021","8","Cancer Alliance","Kent And Medway","Total",3182
"Monthly activity","2021","8","Cancer Alliance","Lancashire And South Cumbria","Total",5129
"Monthly activity","2021","8","Cancer Alliance","North Central London","Total",4168
"Monthly activity","2021","8","Cancer Alliance","North East London","Total",6285
"Monthly activity","2021","8","Cancer Alliance","Northern ","Total",9081
"Monthly activity","2021","8","Cancer Alliance","Peninsula","Total",7396
"Monthly activity","2021","8","Cancer Alliance","RM Partners West London","Total",12025
"Monthly activity","2021","8","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",12032
"Monthly activity","2021","8","Cancer Alliance","South East London","Total",8562
"Monthly activity","2021","8","Cancer Alliance","South Yorkshire And Bassetlaw","Total",8165
"Monthly activity","2021","8","Cancer Alliance","Surrey And Sussex","Total",10797
"Monthly activity","2021","8","Cancer Alliance","Thames Valley","Total",8164
"Monthly activity","2021","8","Cancer Alliance","Wessex","Total",6542
"Monthly activity","2021","8","Cancer Alliance","West Midlands","Total",18474
"Monthly activity","2021","8","Cancer Alliance","West Yorkshire and Harrogate","Total",10430
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Cheshire And Merseyside","Total",6775
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","East Midlands","Total",13534
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","East Of England North","Total",9767
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","East Of England South","Total",8145
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Greater Manchester","Total",8987
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Humber Coast And Vale","Total",3915
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Kent And Medway","Total",5036
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Lancashire And South Cumbria","Total",4537
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","North Central London","Total",7459
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","North East London","Total",4576
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Northern ","Total",9494
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Peninsula","Total",5708
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","RM Partners West London","Total",9223
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",8521
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","South East London","Total",5079
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","South Yorkshire And Bassetlaw","Total",6332
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Surrey And Sussex","Total",7941
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Thames Valley","Total",6513
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","Wessex","Total",7670
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","West Midlands","Total",16071
"Monthly immunosuppressive treatments","2019","1","Cancer Alliance","West Yorkshire and Harrogate","Total",7368
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Cheshire And Merseyside","Total",5601
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","East Midlands","Total",11825
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","East Of England North","Total",10521
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","East Of England South","Total",7156
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Greater Manchester","Total",7935
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Humber Coast And Vale","Total",3513
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Kent And Medway","Total",3704
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Lancashire And South Cumbria","Total",4149
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","North Central London","Total",6484
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","North East London","Total",4180
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Northern ","Total",8304
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Peninsula","Total",4811
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","RM Partners West London","Total",7955
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",7388
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","South East London","Total",4518
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","South Yorkshire And Bassetlaw","Total",5464
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Surrey And Sussex","Total",6796
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Thames Valley","Total",5590
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","Wessex","Total",6336
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","West Midlands","Total",14320
"Monthly immunosuppressive treatments","2019","2","Cancer Alliance","West Yorkshire and Harrogate","Total",6649
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Cheshire And Merseyside","Total",6789
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","East Midlands","Total",12148
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","East Of England North","Total",9310
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","East Of England South","Total",7575
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Greater Manchester","Total",8258
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Humber Coast And Vale","Total",3858
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Kent And Medway","Total",4849
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Lancashire And South Cumbria","Total",4400
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","North Central London","Total",6786
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","North East London","Total",4510
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Northern ","Total",8844
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Peninsula","Total",5044
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","RM Partners West London","Total",8944
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",7733
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","South East London","Total",4631
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","South Yorkshire And Bassetlaw","Total",5784
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Surrey And Sussex","Total",7439
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Thames Valley","Total",5849
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","Wessex","Total",7210
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","West Midlands","Total",15840
"Monthly immunosuppressive treatments","2019","3","Cancer Alliance","West Yorkshire and Harrogate","Total",6895
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Cheshire And Merseyside","Total",6912
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","East Midlands","Total",12811
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","East Of England North","Total",9398
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","East Of England South","Total",7940
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Greater Manchester","Total",8837
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Humber Coast And Vale","Total",3882
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Kent And Medway","Total",4688
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Lancashire And South Cumbria","Total",4482
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","North Central London","Total",6565
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","North East London","Total",4517
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Northern ","Total",9368
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Peninsula","Total",3844
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","RM Partners West London","Total",8947
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",8041
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","South East London","Total",4121
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","South Yorkshire And Bassetlaw","Total",6053
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Surrey And Sussex","Total",7732
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Thames Valley","Total",6005
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","Wessex","Total",6959
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","West Midlands","Total",16378
"Monthly immunosuppressive treatments","2019","4","Cancer Alliance","West Yorkshire and Harrogate","Total",6731
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Cheshire And Merseyside","Total",7574
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","East Midlands","Total",14036
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","East Of England North","Total",9811
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","East Of England South","Total",8115
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Greater Manchester","Total",9188
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Humber Coast And Vale","Total",4210
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Kent And Medway","Total",5085
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Lancashire And South Cumbria","Total",4739
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","North Central London","Total",6400
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","North East London","Total",3048
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Northern ","Total",9359
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Peninsula","Total",5292
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","RM Partners West London","Total",9483
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",8471
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","South East London","Total",5332
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","South Yorkshire And Bassetlaw","Total",6154
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Surrey And Sussex","Total",8389
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Thames Valley","Total",5942
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","Wessex","Total",7486
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","West Midlands","Total",17261
"Monthly immunosuppressive treatments","2019","5","Cancer Alliance","West Yorkshire and Harrogate","Total",7146
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Cheshire And Merseyside","Total",6629
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","East Midlands","Total",11770
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","East Of England North","Total",8775
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","East Of England South","Total",7166
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Greater Manchester","Total",8371
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Humber Coast And Vale","Total",3737
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Kent And Medway","Total",4511
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Lancashire And South Cumbria","Total",4147
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","North Central London","Total",5468
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","North East London","Total",4036
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Northern ","Total",8652
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Peninsula","Total",4887
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","RM Partners West London","Total",8669
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",7731
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","South East London","Total",4641
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","South Yorkshire And Bassetlaw","Total",5617
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Surrey And Sussex","Total",7460
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Thames Valley","Total",5599
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","Wessex","Total",6632
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","West Midlands","Total",15411
"Monthly immunosuppressive treatments","2019","6","Cancer Alliance","West Yorkshire and Harrogate","Total",6405
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Cheshire And Merseyside","Total",7014
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","East Midlands","Total",14071
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","East Of England North","Total",9950
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","East Of England South","Total",8331
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Greater Manchester","Total",9430
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Humber Coast And Vale","Total",4241
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Kent And Medway","Total",5150
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Lancashire And South Cumbria","Total",4795
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","North Central London","Total",5830
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","North East London","Total",4770
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Northern ","Total",10236
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Peninsula","Total",5703
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","RM Partners West London","Total",10088
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",9049
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","South East London","Total",5410
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","South Yorkshire And Bassetlaw","Total",6257
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Surrey And Sussex","Total",8590
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Thames Valley","Total",6370
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","Wessex","Total",7592
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","West Midlands","Total",17863
"Monthly immunosuppressive treatments","2019","7","Cancer Alliance","West Yorkshire and Harrogate","Total",7407
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Cheshire And Merseyside","Total",7014
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","East Midlands","Total",12974
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","East Of England North","Total",9200
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","East Of England South","Total",7611
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Greater Manchester","Total",8827
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Humber Coast And Vale","Total",4056
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Kent And Medway","Total",5095
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Lancashire And South Cumbria","Total",4510
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","North Central London","Total",5505
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","North East London","Total",4393
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Northern ","Total",9755
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Peninsula","Total",5803
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","RM Partners West London","Total",9678
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",8863
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","South East London","Total",5149
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","South Yorkshire And Bassetlaw","Total",6023
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Surrey And Sussex","Total",7551
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Thames Valley","Total",5937
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","Wessex","Total",7116
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","West Midlands","Total",16162
"Monthly immunosuppressive treatments","2019","8","Cancer Alliance","West Yorkshire and Harrogate","Total",7109
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Cheshire And Merseyside","Total",6087
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","East Midlands","Total",13021
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","East Of England North","Total",8881
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","East Of England South","Total",7523
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Greater Manchester","Total",8442
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Humber Coast And Vale","Total",3818
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Kent And Medway","Total",5033
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Lancashire And South Cumbria","Total",4269
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","North Central London","Total",4962
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","North East London","Total",4361
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Northern ","Total",9202
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Peninsula","Total",5408
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","RM Partners West London","Total",9029
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",9313
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","South East London","Total",4991
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","South Yorkshire And Bassetlaw","Total",5875
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Surrey And Sussex","Total",8066
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Thames Valley","Total",6091
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","Wessex","Total",6861
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","West Midlands","Total",15920
"Monthly immunosuppressive treatments","2019","9","Cancer Alliance","West Yorkshire and Harrogate","Total",6711
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Cheshire And Merseyside","Total",7387
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","East Midlands","Total",14547
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","East Of England North","Total",9793
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","East Of England South","Total",8541
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Greater Manchester","Total",9321
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Humber Coast And Vale","Total",4401
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Kent And Medway","Total",5574
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Lancashire And South Cumbria","Total",4590
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","North Central London","Total",5322
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","North East London","Total",4162
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Northern ","Total",10687
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Peninsula","Total",5770
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","RM Partners West London","Total",10202
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",8688
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","South East London","Total",5312
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","South Yorkshire And Bassetlaw","Total",6321
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Surrey And Sussex","Total",8744
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Thames Valley","Total",6967
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","Wessex","Total",7313
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","West Midlands","Total",17539
"Monthly immunosuppressive treatments","2019","10","Cancer Alliance","West Yorkshire and Harrogate","Total",7400
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Cheshire And Merseyside","Total",6667
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","East Midlands","Total",13785
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","East Of England North","Total",9042
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","East Of England South","Total",7972
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Greater Manchester","Total",8663
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Humber Coast And Vale","Total",4175
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Kent And Medway","Total",4944
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Lancashire And South Cumbria","Total",3890
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","North Central London","Total",4667
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","North East London","Total",4196
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Northern ","Total",9526
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Peninsula","Total",5399
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","RM Partners West London","Total",9633
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",8319
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","South East London","Total",4960
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","South Yorkshire And Bassetlaw","Total",5934
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Surrey And Sussex","Total",7529
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Thames Valley","Total",6631
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","Wessex","Total",6122
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","West Midlands","Total",16427
"Monthly immunosuppressive treatments","2019","11","Cancer Alliance","West Yorkshire and Harrogate","Total",6865
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","Cheshire And Merseyside","Total",6174
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","East Midlands","Total",13153
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","East Of England North","Total",9138
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","East Of England South","Total",8413
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","Greater Manchester","Total",8060
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","Humber Coast And Vale","Total",3898
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","Kent And Medway","Total",2932
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","Lancashire And South Cumbria","Total",4426
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","North Central London","Total",5095
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","North East London","Total",4496
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","Northern ","Total",9289
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","Peninsula","Total",5259
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","RM Partners West London","Total",9643
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",8676
"Monthly immunosuppressive treatments","2019","12","Cancer Alliance","South East London","Total",4828
